,Locus,Contig,Gene,Product,R0C200_W,R0C200_Count,R0C200_SD,R0C200_SE,R7C0_W,R7C0_Count,R7C0_SD,R7C0_SE,Untreated_W,Untreated_Count,Untreated_SD,Untreated_SE,R7C100_W,R7C100_Count,R7C100_SD,R7C100_SE,R0C100_W,R0C100_Count,R0C100_SD,R0C100_SE,p_R0C100,d_R0C100,q_R0C100,log10q_R0C100,p_R0C200,d_R0C200,q_R0C200,log10q_R0C200,p_R7C0,d_R7C0,q_R7C0,log10q_R7C0,p_R7C100,d_R7C100,q_R7C100,log10q_R7C100,p_R7C100vsR7C0,d_R7C100vsR7C0,q_R7C100vsR7C0,log10q_R7C100vsR7C0
0,NDEONHPJ_00003,1 (genome),recF,DNA replication and repair protein RecF,1.0195065135006425,82,0.3407564043596349,0.037630249753211976,1.033313936198063,82,0.34326181660091204,0.03790692625046281,1.053382693366415,80,0.23621693270283564,0.02640985594800168,1.010280485582347,78,0.2852667568321864,0.032300099736599565,1.0636449753070791,80,0.2721022268070178,0.030421953798477862,0.7992593510348251,0.010262281940664142,1.0,-0.0,0.46422561807626905,-0.033876179865772515,0.8063748680524248,0.09346301616173948,0.6659839399597224,-0.02006875716835199,1.0,-0.0,0.302027405740947,-0.043102207784067925,0.9222798775190635,0.03513726677994978,0.6458785976746628,-0.023033450615715934,0.9222798775190635,0.03513726677994978
1,NDEONHPJ_00005,1 (genome),cybC,Soluble cytochrome b562,1.0207904652942492,19,0.4590988455948281,0.1053244985812652,0.906233624066761,18,0.3483446559885833,0.08210562281320746,1.0806956566971555,18,0.0719466883493254,0.016957997071907722,0.9801652314483325,19,0.38527328105526776,0.08838775251401344,0.9992081590046592,19,0.2524703308734904,0.05792066623788535,0.195835591852833,-0.0814874976924963,1.0,-0.0,0.5879337793212693,-0.05990519140290629,0.8867940182821268,0.05217724500706029,0.04504384052175217,-0.1744620326303945,0.8027354174003224,0.0954275751418346,0.2838418952842834,-0.10053042524882305,0.9215768790209163,0.035468429580142596,0.545065126206562,0.07393160738157145,0.9215768790209163,0.035468429580142596
2,NDEONHPJ_00006,1 (genome),dedA_1,Protein DedA,0.9652177462811544,49,0.335110624782671,0.04787294639752443,0.9821252808837656,48,0.2540411967311625,0.036667688329497836,1.0168179250882396,46,0.1879935301938233,0.027718133836242026,1.0299131709638358,47,0.2394701372250073,0.03493030953032534,0.987015785444204,47,0.2471231909960799,0.036046622153575764,0.5150788898363665,-0.029802139644035663,1.0,-0.0,0.3613074983451673,-0.05160017880708523,0.739872529241254,0.13084309731734445,0.455152655142657,-0.034692644204474044,1.0,-0.0,0.7702555370143971,0.013095245875596184,1.0,-0.0,0.34810227715535336,0.04778789008007023,1.0,-0.0
3,NDEONHPJ_00007,1 (genome),yheS_1,putative ABC transporter ATP-binding protein,0.9763476219408576,136,0.3615631223061985,0.03100378195761046,1.0450370217687948,134,0.2683404693761991,0.023181085879978032,1.0820318345740152,136,0.18213063100412025,0.015617572764159487,1.0558129830317522,134,0.2690105869244013,0.023238975219110013,1.0445941113064483,137,0.2367741918998009,0.020228984399929283,0.14447984734684338,-0.03743772326756689,1.0,-0.0,0.0025622794438945784,-0.10568421263315764,0.17041902490230545,0.7684819239538166,0.18557633841147128,-0.036994812805220434,1.0,-0.0,0.3485754341858506,-0.026218851542263,0.9526987093656701,0.021044423126847737,0.7429465002856351,0.010775961262957434,0.9526987093656701,0.021044423126847737
4,NDEONHPJ_00008,1 (genome),,hypothetical protein,1.0169539582623746,142,0.35680442850770505,0.029942362496136982,1.0405096460244552,136,0.242774509971992,0.020817742484431263,1.040919149764664,133,0.24511885641927456,0.021254500411950428,1.0290138793232575,135,0.220751266945594,0.018999244011877192,1.0617058011445049,140,0.2614639538469355,0.0220977373051878,0.49908542486778096,0.020786651379840926,1.0,-0.0,0.5194587784093743,-0.023965191502289374,0.8477758289179329,0.07171896983574783,0.9890271314531598,-0.0004095037402087609,1.0,-0.0,0.6763331613235608,-0.011905270441406435,1.0,-0.0,0.6837914620895325,-0.011495766701197674,1.0,-0.0
5,NDEONHPJ_00009,1 (genome),,hypothetical protein,0.9930987446183808,113,0.3769045733801312,0.035456199756790624,1.0750415588123472,116,0.2729674114390655,0.025344387889245864,1.0933400239580944,115,0.22152859574159814,0.0206576480691765,1.0149648142729737,110,0.2491813256949489,0.02375850719887552,1.0675131247812375,114,0.2413696490269572,0.022606338862510133,0.39973006036581593,-0.025826899176856877,1.0,-0.0,0.014911578237458131,-0.10024127933971361,0.3057842610825941,0.5145848717715955,0.5766116245963615,-0.018298465145747178,1.0,-0.0,0.013286926697296128,-0.07837520968512068,0.21809408679578093,0.6613561093262817,0.08587389245237764,-0.060076744539373506,0.21809408679578093,0.6613561093262817
6,NDEONHPJ_00010,1 (genome),,hypothetical protein,1.0105032039529127,118,0.2891768959372127,0.026620891048242282,1.0416636222567033,123,0.2273158160901113,0.02049637688480999,1.0733082682543489,120,0.2382823163321765,0.021752099951619124,1.039958644588033,118,0.22968263403826844,0.021144000306765942,1.0470091562431738,118,0.2082995496982825,0.019175527837188924,0.36590123487349047,-0.026299112011175074,1.0,-0.0,0.0685317874826948,-0.06280506430143618,0.43528409551369324,0.3612272008803407,0.2904716732658922,-0.031644645997645604,1.0,-0.0,0.27287456733766563,-0.033349623666315775,0.916156470493715,0.03803034678115528,0.9538679972402173,-0.0017049776686701712,0.916156470493715,0.03803034678115528
7,NDEONHPJ_00012,1 (genome),ephA_1,Epoxide hydrolase A,0.9697639102537416,86,0.3720253936143995,0.04011652989554145,1.0693898717273609,85,0.2500830073040505,0.02712531063356701,1.0693157744370694,83,0.15191391282887254,0.016674718223799522,1.0264354287959108,82,0.23989166597995076,0.026491602766803304,1.0486429720048314,86,0.2213333651852384,0.023866990570373618,0.48148390313833833,-0.020672802432238013,1.0,-0.0,0.02495785579582811,-0.09955186418332773,0.34617074088637567,0.4607096424357611,0.9981562233306616,7.409729029150824e-05,1.0,-0.0,0.17150101276312152,-0.04288034564115861,0.8212152633537233,0.08554298729865148,0.25925703886491835,-0.04295444293145012,0.8212152633537233,0.08554298729865148
8,NDEONHPJ_00013,1 (genome),anmK,Anhydro-N-acetylmuramic acid kinase,1.0071560491528713,108,0.334407857326298,0.03217841107441069,1.0622556939095622,110,0.27975076676675625,0.026673189042487118,1.0799456989574143,110,0.19219190723435126,0.018324779350371318,1.05759627334338,112,0.2786264832648773,0.0263277279784059,1.0810682879000626,104,0.2105356445117532,0.02064471845523583,0.9675165642311399,0.0011225889426482727,1.0,-0.0,0.049562775635905505,-0.07278964980454306,0.3955789769136341,0.4027667970875225,0.5851851423038739,-0.01769000504785212,1.0,-0.0,0.48809983831212156,-0.022349425614034413,0.9895651911648059,0.00455558980468872,0.9011688333040133,-0.004659420566182293,0.9895651911648059,0.00455558980468872
9,NDEONHPJ_00014,1 (genome),tyrS,Tyrosine--tRNA ligase,0.5225427022731017,2,0.7389869764737068,0.5225427022731017,0.5280987355761102,2,0.746844394123818,0.5280987355761102,0.4896431795568425,2,0.6924600252527713,0.4896431795568425,0.4737205276904302,2,0.6699419950343457,0.4737205276904302,0.5341856033589728,2,0.7554525250947141,0.5341856033589727,0.9565763772969561,0.044542423802130304,1.0,-0.0,0.9675308450620302,0.03289952271625923,1.0,-0.0,0.9622686567138292,0.0384555560192677,1.0,-0.0,0.9834763301078981,-0.015922651866412285,1.0,-0.0,0.9458797588216792,-0.054378207885679986,1.0,-0.0
